Id	Type	Time	Length	Hex	Ascii	
16	W	0.218660	9	00 08 01 00 06 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000153	8	08 01 00 06 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000025	8	08 01 00 06 00 00 00 00	........	
16	W	3.202345	9	00 01 82 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000079	8	01 82 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	01 82 08 01 00 00 00 00	........	
13	In  (USB URB Function: 9)	0.007087	8	08 01 00 04 00 00 00 00	........	
15	In  (USB URB Function: 9)	0.000013	8	08 01 00 04 00 00 00 00	........	
16	R	0.195777	11	00 00 00 00 00 00 00 00 00 00 00	...........	
16	W	0.062746	9	00 01 82 08 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000060	8	01 82 08 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000026	8	01 82 08 02 00 00 00 00	........	
13	In  (USB URB Function: 9)	0.013606	8	08 03 01 00 00 00 00 00	........	
15	In  (USB URB Function: 9)	0.000013	8	08 03 01 00 00 00 00 00	........	
16	R	0.189832	11	00 00 00 00 00 00 00 00 00 00 00	...........	
16	W	0.062603	9	00 01 82 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000150	8	01 82 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000026	8	01 82 08 03 00 00 00 00	........	
13	In  (USB URB Function: 9)	0.019844	8	08 01 00 06 00 00 00 00	........	
15	In  (USB URB Function: 9)	0.000015	8	08 01 00 06 00 00 00 00	........	
16	R	0.197519	11	00 00 00 00 00 00 00 00 00 00 00	...........	
